Date,Month,count,year
27,November,388,2016
28,November,832,2016
29,November,194,2016
30,November,79,2016
1,December,118,2016
2,December,286,2016
3,December,897,2016
4,December,315,2016
5,December,706,2016
6,December,194,2016
7,December,70,2016
8,December,104,2016
9,December,244,2016
10,December,790,2016
11,December,267,2016
12,December,751,2016
13,December,147,2016
14,December,91,2016
15,December,96,2016
16,December,277,2016
17,December,508,2016
18,December,314,2016
19,December,772,2016
20,December,291,2016
21,December,151,2016
22,December,138,2016
23,December,163,2016
24,December,119,2016
25,December,42,2016
26,December,87,2016
27,December,225,2016
28,December,159,2016
29,December,227,2016
30,December,221,2016
31,December,407,2016
1,January,82,2015
2,January,202,2015
3,January,721,2015
4,January,183,2015
5,January,156,2015
6,January,98,2015
7,January,107,2015
8,January,147,2015
9,January,313,2015
10,January,1148,2015
11,January,238,2015
12,January,93,2015
13,January,44,2015
14,January,79,2015
15,January,164,2015
16,January,283,2015
17,January,1014,2015
18,January,254,2015
19,January,91,2015
20,January,82,2015
21,January,94,2015
22,January,101,2015
23,January,247,2015
24,January,1000,2015
25,January,466,2015
26,January,94,2015
27,January,75,2015
28,January,59,2015
29,January,81,2015
30,January,175,2015
31,January,910,2015
1,February,196,2015
2,February,99,2015
3,February,52,2015
4,February,45,2015
5,February,89,2015
6,February,283,2015
7,February,1228,2015
8,February,291,2015
9,February,113,2015
10,February,57,2015
11,February,79,2015
12,February,110,2015
13,February,196,2015
14,February,1750,2015
15,February,314,2015
16,February,103,2015
17,February,85,2015
18,February,86,2015
19,February,116,2015
20,February,376,2015
21,February,1487,2015
22,February,291,2015
23,February,109,2015
24,February,86,2015
25,February,74,2015
26,February,110,2015
27,February,359,2015
28,February,1599,2015
1,March,370,2015
2,March,91,2015
3,March,89,2015
4,March,98,2015
5,March,120,2015
6,March,449,2015
7,March,1810,2015
8,March,526,2015
9,March,111,2015
10,March,96,2015
11,March,88,2015
12,March,123,2015
13,March,297,2015
14,March,1922,2015
15,March,334,2015
16,March,106,2015
17,March,78,2015
18,March,93,2015
19,March,124,2015
20,March,513,2015
21,March,2073,2015
22,March,294,2015
23,March,80,2015
24,March,60,2015
25,March,79,2015
26,March,131,2015
27,March,487,2015
28,March,2100,2015
29,March,338,2015
30,March,83,2015
31,March,81,2015
1,April,94,2015
2,April,268,2015
3,April,95,2015
4,April,966,2015
5,April,225,2015
6,April,82,2015
7,April,109,2015
8,April,141,2015
9,April,130,2015
10,April,525,2015
11,April,2007,2015
12,April,354,2015
13,April,93,2015
14,April,73,2015
15,April,107,2015
16,April,119,2015
17,April,396,2015
18,April,1848,2015
19,April,314,2015
20,April,129,2015
21,April,80,2015
22,April,78,2015
23,April,121,2015
24,April,377,2015
25,April,533,2015
26,April,397,2015
27,April,67,2015
28,April,85,2015
29,April,77,2015
30,April,108,2015
1,May,457,2015
2,May,1461,2015
3,May,297,2015
4,May,93,2015
5,May,103,2015
6,May,63,2015
7,May,75,2015
8,May,252,2015
9,May,1149,2015
10,May,224,2015
11,May,78,2015
12,May,68,2015
13,May,45,2015
14,May,96,2015
15,May,454,2015
16,May,1039,2015
17,May,211,2015
18,May,107,2015
19,May,48,2015
20,May,143,2015
21,May,82,2015
22,May,213,2015
23,May,882,2015
24,May,228,2015
25,May,102,2015
26,May,49,2015
27,May,77,2015
28,May,86,2015
29,May,192,2015
30,May,867,2015
31,May,221,2015
1,June,81,2015
2,June,51,2015
3,June,73,2015
4,June,70,2015
5,June,224,2015
6,June,917,2015
7,June,382,2015
8,June,67,2015
9,June,77,2015
10,June,69,2015
11,June,85,2015
12,June,199,2015
13,June,548,2015
14,June,156,2015
15,June,111,2015
16,June,66,2015
17,June,63,2015
18,June,72,2015
19,June,176,2015
20,June,641,2015
21,June,176,2015
22,June,89,2015
23,June,62,2015
24,June,85,2015
25,June,89,2015
26,June,200,2015
27,June,813,2015
28,June,209,2015
29,June,79,2015
30,June,76,2015
1,July,117,2015
2,July,78,2015
3,July,207,2015
4,July,779,2015
5,July,159,2015
6,July,87,2015
7,July,91,2015
8,July,75,2015
9,July,84,2015
10,July,186,2015
11,July,569,2015
12,July,143,2015
13,July,62,2015
14,July,70,2015
15,July,70,2015
16,July,82,2015
17,July,156,2015
18,July,620,2015
19,July,148,2015
20,July,99,2015
21,July,67,2015
22,July,53,2015
23,July,85,2015
24,July,162,2015
25,July,625,2015
26,July,181,2015
27,July,99,2015
28,July,62,2015
29,July,68,2015
30,July,80,2015
31,July,184,2015
1,August,734,2015
2,August,169,2015
3,August,82,2015
4,August,56,2015
5,August,69,2015
6,August,98,2015
7,August,222,2015
8,August,980,2015
9,August,181,2015
10,August,112,2015
11,August,46,2015
12,August,69,2015
13,August,61,2015
14,August,211,2015
15,August,840,2015
16,August,206,2015
17,August,72,2015
18,August,64,2015
19,August,60,2015
20,August,98,2015
21,August,248,2015
22,August,908,2015
23,August,177,2015
24,August,99,2015
25,August,63,2015
26,August,65,2015
27,August,95,2015
28,August,323,2015
29,August,965,2015
30,August,214,2015
31,August,82,2015
1,September,100,2015
2,September,75,2015
3,September,100,2015
4,September,294,2015
5,September,1248,2015
6,September,227,2015
7,September,94,2015
8,September,72,2015
9,September,117,2015
10,September,116,2015
11,September,225,2015
12,September,1359,2015
13,September,241,2015
14,September,119,2015
15,September,86,2015
16,September,80,2015
17,September,100,2015
18,September,383,2015
19,September,1570,2015
20,September,376,2015
21,September,123,2015
22,September,73,2015
23,September,86,2015
24,September,125,2015
25,September,456,2015
26,September,1872,2015
27,September,405,2015
28,September,100,2015
29,September,80,2015
30,September,88,2015
1,October,210,2015
2,October,424,2015
3,October,1508,2015
4,October,591,2015
5,October,112,2015
6,October,75,2015
7,October,82,2015
8,October,163,2015
9,October,432,2015
10,October,2144,2015
11,October,344,2015
12,October,100,2015
13,October,59,2015
14,October,77,2015
15,October,148,2015
16,October,410,2015
17,October,1654,2015
18,October,375,2015
19,October,81,2015
20,October,61,2015
21,October,99,2015
22,October,111,2015
23,October,397,2015
24,October,1629,2015
25,October,303,2015
26,October,92,2015
27,October,69,2015
28,October,56,2015
29,October,85,2015
30,October,395,2015
31,October,1302,2015
1,November,330,2015
2,November,106,2015
3,November,49,2015
4,November,52,2015
5,November,86,2015
6,November,338,2015
7,November,1439,2015
8,November,318,2015
9,November,87,2015
10,November,72,2015
11,November,101,2015
12,November,82,2015
13,November,224,2015
14,November,1349,2015
15,November,440,2015
16,November,119,2015
17,November,60,2015
18,November,69,2015
19,November,90,2015
20,November,356,2015
21,November,1269,2015
22,November,714,2015
23,November,184,2015
24,November,80,2015
25,November,81,2015
26,November,100,2015
27,November,339,2015
28,November,1159,2015
29,November,682,2015
30,November,166,2015
1,December,108,2015
2,December,83,2015
3,December,88,2015
4,December,241,2015
5,December,915,2015
6,December,867,2015
7,December,191,2015
8,December,102,2015
9,December,79,2015
10,December,109,2015
11,December,210,2015
12,December,821,2015
13,December,671,2015
14,December,238,2015
15,December,110,2015
16,December,92,2015
17,December,100,2015
18,December,228,2015
19,December,516,2015
20,December,709,2015
21,December,246,2015
22,December,148,2015
23,December,104,2015
24,December,129,2015
25,December,50,2015
26,December,63,2015
27,December,417,2015
28,December,229,2015
29,December,160,2015
30,December,150,2015
31,December,353,2015
1,January,94,2014
2,January,144,2014
3,January,329,2014
4,January,920,2014
5,January,229,2014
6,January,112,2014
7,January,110,2014
8,January,129,2014
9,January,122,2014
10,January,310,2014
11,January,1175,2014
12,January,233,2014
13,January,93,2014
14,January,94,2014
15,January,99,2014
16,January,117,2014
17,January,248,2014
18,January,1127,2014
19,January,221,2014
20,January,111,2014
21,January,64,2014
22,January,87,2014
23,January,104,2014
24,January,275,2014
25,January,1092,2014
26,January,424,2014
27,January,71,2014
28,January,73,2014
29,January,47,2014
30,January,69,2014
31,January,199,2014
1,February,1175,2014
2,February,225,2014
3,February,75,2014
4,February,51,2014
5,February,78,2014
6,February,78,2014
7,February,278,2014
8,February,1221,2014
9,February,236,2014
10,February,110,2014
11,February,63,2014
12,February,68,2014
13,February,80,2014
14,February,811,2014
15,February,1407,2014
16,February,255,2014
17,February,107,2014
18,February,68,2014
19,February,74,2014
20,February,114,2014
21,February,331,2014
22,February,1645,2014
23,February,283,2014
24,February,112,2014
25,February,93,2014
26,February,92,2014
27,February,91,2014
28,February,445,2014
1,March,2017,2014
2,March,375,2014
3,March,111,2014
4,March,86,2014
5,March,91,2014
6,March,129,2014
7,March,419,2014
8,March,1820,2014
9,March,492,2014
10,March,102,2014
11,March,115,2014
12,March,109,2014
13,March,104,2014
14,March,502,2014
15,March,1813,2014
16,March,327,2014
